architecture,state,faradaic_active,V_cat_HER_V_vs_RHE,V_cat_OER_V_vs_RHE,E_cat_HER_eV,E_cat_OER_eV,Delta_V_cat_V,Delta_E_cat_eV,eta_HER_V,eta_OER_V,J_sem_mA_cm2,J_OWS_mA_cm2,J_gen_mA_cm2,J_contact_mA_cm2,signed_opposite_carrier_term_mA_cm2,J_SRH_mA_cm2,E_CB_s_HER_eV,E_CB_s_OER_eV,E_CB_bulk_eV,V_bb_HER_V,V_bb_OER_V,Delta_E_CB_surface_eV,Phi_B_HER_eV,Phi_B_OER_eV,Delta_E_F_center_eV,j_HER_anodic_mA_cm2,j_OER_anodic_mA_cm2,catalyst_balance_HER_A_m2,catalyst_balance_OER_A_m2,integrated_current_balance_A_m2,BVP_rms_max,adaptive_mesh_nodes,thickness_nm,thickness_um,alpha_L,absorbed_fraction,utilization_percent,status,calculation_origin,source
AA,finite_current,True,-0.1460129000028129,1.5273722352606427,0.1460129000028129,-1.5273722352606427,1.6733851352634557,1.6733851352634557,-0.1460129000028129,0.2983722352606426,0.028794257327369843,0.028794257327369843,0.02929252862420507,0.0004982644144635759,0.0004982644144635759,6.882371227764902e-09,0.9552120108495786,1.1052120108495784,1.0294332310794783,-0.07422122022989963,0.07577877977010017,0.1499999999999998,0.8091991108467658,2.632584246110221,2.039715713726107,-0.02879425732736838,0.028794257327175,1.4654943925052066e-14,-1.9484414082171497e-12,4.25113431164723e-15,6.890633925776024e-10,1100,10.0,0.01,0.01,0.009950166250831947,98.29898161668605,ok,recomputed_BVP,full
AA,finite_current,True,-0.15581385844603132,1.5313026393857085,0.15581385844603132,-1.5313026393857085,1.68711649783174,1.68711649783174,-0.15581385844603132,0.30230263938570845,0.03610488654227678,0.03610488654227678,0.036829487203950226,0.0007245888430333989,0.0007245888430333989,1.1818639264318734e-08,0.9552120108495786,1.1052120108495787,1.0289960060019208,-0.07378399515234213,0.07621600484765789,0.15000000000000002,0.7993981524035473,2.636514650235287,2.0539764563181295,-0.03610488654706733,0.03610488654706676,-4.790551288991196e-11,4.789979524133514e-11,7.780027359328131e-15,7.520605603077951e-10,1100,12.589254117941675,0.012589254117941675,0.012589254117941675,0.012510340958048146,98.03255294416446,ok,recomputed_BVP,full
AA,finite_current,True,-0.16557586919682413,1.5352141929922505,0.16557586919682413,-1.5352141929922505,1.7007900621890746,1.7007900621890746,-0.16557586919682413,0.3062141929922504,0.045222526794837084,0.045222526794837084,0.04629024926523183,0.001067701949658553,0.001067701949658553,2.0520734751092457e-08,0.9552120108495786,1.1052120108495787,1.0283030509483357,-0.07309104009875711,0.07690895990124291,0.15000000000000002,0.7896361416527545,2.6404262038418294,2.0687409203494362,-0.04522252679981142,0.045222526799811556,-4.9743320573725214e-11,4.9744708352505995e-11,1.434384272603897e-14,8.159288959384098e-10,1100,15.848931924611135,0.015848931924611134,0.015848931924611134,0.015723998494309013,97.69341818775493,ok,recomputed_BVP,full
AA,finite_current,True,-0.17528054534304963,1.5391006568593952,0.17528054534304963,-1.5391006568593952,1.714381202202445,1.714381202202445,-0.17528054534304963,0.31010065685939514,0.056560914337130154,0.056560914337130154,0.05815687642217032,0.0015959260121052323,0.0015959260121052323,3.607293226530599e-08,0.9552120108495786,1.1052120108495787,1.0272047911918427,-0.07199278034226408,0.07800721965773594,0.15000000000000002,0.779931465506529,2.6443126677089737,2.0841059282864682,-0.05656091434221226,0.05656091434221231,-5.0821125086031316e-11,5.0821569175241166e-11,2.672430453201733e-14,8.792671677191507e-10,1100,19.952623149688797,0.0199526231496888,0.019952623149688795,0.019754886867346548,97.25576374932035,ok,recomputed_BVP,full
AA,finite_current,True,-0.18490190305137758,1.542952360992547,0.18490190305137758,-1.542952360992547,1.7278542640439247,1.7278542640439247,-0.18490190305137758,0.313952360992547,0.07060070287997114,0.07060070287997114,0.07302699854629051,0.0024262313082811303,0.0024262313082811303,6.435803322212264e-08,0.9552120108495786,1.1052120108495787,1.0254641667630964,-0.07025215591351774,0.07974784408648228,0.15000000000000002,0.7703101077982011,2.6481643718421255,2.1002227323000024,-0.07060070288501204,0.07060070288507059,-5.0408899276987995e-11,5.09944309001753e-11,5.014402892257198e-14,9.39730430138538e-10,1100,25.118864315095795,0.025118864315095794,0.025118864315095794,0.024806010626696736,96.677536096761,ok,recomputed_BVP,full
AA,finite_current,True,-0.19439829098148365,1.5467531155937275,0.19439829098148365,-1.5467531155937275,1.7411514065752112,1.7411514065752112,-0.19439829098148365,0.31775311559372743,0.08786742306855617,0.08786742306855617,0.09163846852624447,0.003770928415658098,0.003770928415658098,1.1704202078856724e-07,0.9552120108495786,1.1052120108495787,1.0227054629326966,-0.06749345208311797,0.08250654791688206,0.15000000000000002,0.760813719868095,2.651965126443306,2.1173388478374457,-0.08786742307352684,0.08786742307352712,-4.9706683213912584e-11,4.9709458771474146e-11,9.406901637376845e-14,9.93227371810305e-10,1100,31.622776601683793,0.03162277660168379,0.03162277660168379,0.03112800565992457,95.88486634670427,ok,recomputed_BVP,full
AA,finite_current,True,-0.2036953618339327,1.5504734886743146,0.2036953618339327,-1.5504734886743146,1.7541688505082473,1.7541688505082473,-0.2036953618339327,0.32147348867431447,0.10885220147753487,0.10885220147753487,0.1148974572727746,0.006045037325893846,0.006045037325893846,2.1846932835862242e-07,0.9552120108495786,1.1052120108495787,1.0183332120233353,-0.06312120117375664,0.08687879882624339,0.15000000000000002,0.751516649015646,2.6556854995238934,2.1358658913553885,-0.10885220148214692,0.1088522014821454,-4.61204407997684e-11,4.61053417666335e-11,1.7529666725420276e-13,1.0326960957095173e-09,1100,39.810717055349734,0.039810717055349734,0.03981071705534973,0.03902868258076122,94.73856433490266,ok,recomputed_BVP,full
AA,finite_current,True,-0.21264780614516357,1.554055555817625,0.21264780614516357,-1.554055555817625,1.7667033619627885,1.7667033619627885,-0.21264780614516357,0.3250555558176249,0.1337792926840751,0.1337792926840751,0.14390929197292643,0.010129576898944778,0.010129576898944778,4.2238987484525056e-07,0.9552120108495786,1.1052120108495787,1.0114036616023474,-0.056191650752768774,0.09380834924723125,0.15000000000000002,0.7425642047044151,2.6592675666672037,2.156483611781854,-0.13377929268795724,0.13377929268819924,-3.8821390546672774e-11,4.124145469575069e-11,3.172142749687033e-13,1.0453884712176422e-09,1100,50.118723362727245,0.05011872336272725,0.05011872336272724,0.04888350195165109,92.96084418874281,ok,recomputed_BVP,full
AA,finite_current,True,-0.22095383826425422,1.5573787290146042,0.22095383826425422,-1.5573787290146042,1.7783325672788584,1.7783325672788584,-0.22095383826425422,0.3283787290146041,0.16198254769488063,0.16198254769488063,0.18001035927071724,0.01802696016519181,0.01802696016519181,8.514105923389426e-07,0.9552120108495786,1.1052120108495787,1.000421066117031,-0.045209055267452336,0.10479094473254769,0.15000000000000002,0.7342581725853244,2.662590739864183,2.18027859199967,-0.16198254769798143,0.16198254769798193,-3.100808498857077e-11,3.101296996987912e-11,5.244483622742933e-13,2.15016586729812e-09,1100,63.09573444801933,0.06309573444801933,0.06309573444801932,0.06114641124343088,89.98512549562517,ok,recomputed_BVP,full
AA,finite_current,True,-0.22800734033881503,1.5602006348681507,0.22800734033881503,-1.5602006348681507,1.7882079752069657,1.7882079752069657,-0.22800734033881503,0.33120063486815066,0.1905530356077322,0.1905530356077322,0.2247978104794815,0.03424301538598792,0.03424301538598792,1.7594856982310139e-06,0.9552120108495786,1.1052120108495787,0.9830148360144432,-0.027802825164864542,0.12219717483513548,0.15000000000000002,0.7272046705107635,2.6654126457177294,2.2088889204673463,-0.19055303560944054,0.19055303561049863,-1.708322372451221e-11,2.7664315283004726e-11,6.313462834397088e-13,5.104616908470534e-09,1100,79.43282347242814,0.07943282347242814,0.07943282347242814,0.07635993518311503,84.7664108477271,ok,recomputed_BVP,full
