column,units,definition,files
BVP_rms_max,dimensionless or metadata,Maximum normalized collocation interval RMS residual,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
Delta_E_CB_surface_eV,eV,"E_CB,s,OER minus E_CB,s,HER",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
Delta_E_F_center_eV,eV,E_Fn minus E_Fp at x/L=0.5,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
Delta_E_cat_eV,eV,"E_cat,HER minus E_cat,OER; equals q Delta V_cat",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
Delta_V_bb_0_V,V,OER minus HER input native dark bending voltage,native_band_bending_sweep.csv
Delta_V_cat_V,V,"V_cat,OER minus V_cat,HER",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
E_CB_bulk_eV,eV,Mean conduction-band energy over 0.42<=x/L<=0.58,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
E_CB_eV,eV,"Conduction-band electron energy, E_RHE=0",AA_dark_equilibrium_profile.csv;AA_operating_profile.csv;AB_dark_equilibrium_profile.csv;BA_dark_equilibrium_profile.csv;BA_operating_profile.csv;BB_dark_equilibrium_profile.csv
E_CB_s_HER_eV,eV,Semiconductor surface conduction-band energy at HER,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
E_CB_s_OER_eV,eV,Semiconductor surface conduction-band energy at OER,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
E_Fn_eV,eV,"Electron quasi-Fermi energy, E_RHE=0",AA_dark_equilibrium_profile.csv;AA_operating_profile.csv;AB_dark_equilibrium_profile.csv;BA_dark_equilibrium_profile.csv;BA_operating_profile.csv;BB_dark_equilibrium_profile.csv
E_Fp_eV,eV,"Hole quasi-Fermi energy, E_RHE=0",AA_dark_equilibrium_profile.csv;AA_operating_profile.csv;AB_dark_equilibrium_profile.csv;BA_dark_equilibrium_profile.csv;BA_operating_profile.csv;BB_dark_equilibrium_profile.csv
E_VB_eV,eV,"Valence-band electron energy, E_RHE=0",AA_dark_equilibrium_profile.csv;AA_operating_profile.csv;AB_dark_equilibrium_profile.csv;BA_dark_equilibrium_profile.csv;BA_operating_profile.csv;BB_dark_equilibrium_profile.csv
E_cat_HER_eV,eV,"HER catalyst electron electrochemical energy, E_RHE=0",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
E_cat_OER_eV,eV,"OER catalyst electron electrochemical energy, E_RHE=0",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
J_OWS_mA_cm2,mA cm^-2,Positive finite-current water-splitting current,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
J_SRH_mA_cm2,mA cm^-2,q integral R_SRH dx on the diagnostic sampling grid,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
J_contact_mA_cm2,mA cm^-2,-Jp(0)-Jn(L) for forward OWS,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
J_gen_mA_cm2,mA cm^-2,Absorbed photon-equivalent current qGL,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
J_sem_mA_cm2,mA cm^-2,Spatially constant conventional current along +x,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
Jn_mA_cm2,mA cm^-2,Electron conventional current along +x,AA_dark_equilibrium_profile.csv;AA_operating_profile.csv;AB_dark_equilibrium_profile.csv;BA_dark_equilibrium_profile.csv;BA_operating_profile.csv;BB_dark_equilibrium_profile.csv
Jp_mA_cm2,mA cm^-2,Hole conventional current along +x,AA_dark_equilibrium_profile.csv;AA_operating_profile.csv;AB_dark_equilibrium_profile.csv;BA_dark_equilibrium_profile.csv;BA_operating_profile.csv;BB_dark_equilibrium_profile.csv
Jtotal_mA_cm2,mA cm^-2,"Jn+Jp, conventional +x",AA_dark_equilibrium_profile.csv;AA_operating_profile.csv;AB_dark_equilibrium_profile.csv;BA_dark_equilibrium_profile.csv;BA_operating_profile.csv;BB_dark_equilibrium_profile.csv
Phi_B_HER_eV,eV,"E_CB,s,HER minus E_cat,HER",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
